frame_index,file_offset,hex_frame,rotacao_rpm,bateria_v,map_bar,nao_id_0,pcomb_bar,nao_id_1,tps_pct,temp_ar_c,temp_motor_c,sonda_nb_v,sonda_wb_v,nao_id_2,corr_sonda_pct,nao_id_3,ponto_ign_deg,inj_b1_pct,inj_b2_pct,inj_b3_pct,inj_b1_ms,inj_b2_ms,inj_b3_ms,booster_hex,booster_desc,nao_id_4,fase_ang_deg,nao_id_5,roda_tracao_kmh
0,41,aa 55 aa ad 0e 83 00 00 00 dc 01 37 00 1c 00 00 00 00 00 00 00 00 00 1c 00 37 00 00 00 00 00 00 00 00 00 6b 01 04 00 04 00 00 00 33 01 33 01 00 00 00 00 00 00 3f 01 00 00 00 00,3757,13.1,0.0,dc 01 37 00 1c 00,0.0,00 00 00 00,0.0,28,55,0.0,0.0,00,0,00 00,36.3,4,4,0,3.07,3.07,0.0,0x00,nda,00 00 00,319,00 00,0.0
1,100,aa 55 aa 1a 0f 83 00 00 00 dc 01 37 00 1c 00 00 00 00 00 00 00 00 00 1c 00 37 00 00 00 00 00 00 00 00 00 6c 01 04 00 04 00 00 00 32 01 32 01 00 00 00 00 00 00 30 00 00 00 00 00,3866,13.1,0.0,dc 01 37 00 1c 00,0.0,00 00 00 00,0.0,28,55,0.0,0.0,00,0,00 00,36.4,4,4,0,3.06,3.06,0.0,0x00,nda,00 00 00,48,00 00,0.0
2,159,aa 55 aa bb 0e 83 00 00 00 c6 01 37 00 1c 00 00 00 00 00 00 00 00 00 1c 00 37 00 00 00 00 00 00 00 00 00 6b 01 04 00 04 00 00 00 33 01 33 01 00 00 00 00 00 00 4e 00 00 00 00 00,3771,13.1,0.0,c6 01 37 00 1c 00,0.0,00 00 00 00,0.0,28,55,0.0,0.0,00,0,00 00,36.3,4,4,0,3.07,3.07,0.0,0x00,nda,00 00 00,78,00 00,0.0
3,218,aa 55 aa 10 0f 83 00 00 00 bc 01 37 00 1c 00 00 00 00 00 00 00 00 00 1c 00 37 00 00 00 00 00 00 00 00 00 6c 01 04 00 04 00 00 00 32 01 32 01 00 00 00 00 00 00 90 02 00 00 00 00,3856,13.1,0.0,bc 01 37 00 1c 00,0.0,00 00 00 00,0.0,28,55,0.0,0.0,00,0,00 00,36.4,4,4,0,3.06,3.06,0.0,0x00,nda,00 00 00,656,00 00,0.0
4,277,aa 55 aa 89 0e 83 00 00 00 dc 01 37 00 1c 00 00 00 00 00 00 00 00 00 1c 00 37 00 00 00 00 00 00 00 00 00 6b 01 04 00 04 00 00 00 35 01 35 01 00 00 00 00 00 00 95 02 00 00 00 00,3721,13.1,0.0,dc 01 37 00 1c 00,0.0,00 00 00 00,0.0,28,55,0.0,0.0,00,0,00 00,36.3,4,4,0,3.09,3.09,0.0,0x00,nda,00 00 00,661,00 00,0.0
5,336,aa 55 aa f8 0d 83 00 00 00 dc 01 37 00 1c 00 00 00 00 00 00 00 00 00 1c 00 37 00 00 00 00 00 00 00 00 00 69 01 04 00 04 00 00 00 38 01 38 01 00 00 00 00 00 00 de 00 00 00 00 00,3576,13.1,0.0,dc 01 37 00 1c 00,0.0,00 00 00 00,0.0,28,55,0.0,0.0,00,0,00 00,36.1,4,4,0,3.12,3.12,0.0,0x00,nda,00 00 00,222,00 00,0.0
6,395,aa 55 aa cc 0e 83 00 00 00 dc 01 37 00 1c 00 00 00 00 00 00 00 00 00 1c 00 37 00 00 00 00 00 00 00 00 00 6b 01 04 00 04 00 00 00 33 01 33 01 00 00 00 00 00 00 b8 01 00 00 00 00,3788,13.1,0.0,dc 01 37 00 1c 00,0.0,00 00 00 00,0.0,28,55,0.0,0.0,00,0,00 00,36.3,4,4,0,3.07,3.07,0.0,0x00,nda,00 00 00,440,00 00,0.0
7,454,aa 55 aa 7d 0e 83 00 00 00 d9 01 37 00 1c 00 00 00 00 00 00 00 00 00 1c 00 37 00 00 00 00 00 00 00 00 00 6b 01 04 00 04 00 00 00 35 01 35 01 00 00 00 00 00 00 a5 01 00 00 00 00,3709,13.1,0.0,d9 01 37 00 1c 00,0.0,00 00 00 00,0.0,28,55,0.0,0.0,00,0,00 00,36.3,4,4,0,3.09,3.09,0.0,0x00,nda,00 00 00,421,00 00,0.0
8,513,aa 55 aa 66 0e 83 00 00 00 dc 01 37 00 1c 00 00 00 00 00 00 00 00 00 1c 00 37 00 00 00 00 00 00 00 00 00 6a 01 04 00 04 00 00 00 35 01 35 01 00 00 00 00 00 00 9c 02 00 00 00 00,3686,13.1,0.0,dc 01 37 00 1c 00,0.0,00 00 00 00,0.0,28,55,0.0,0.0,00,0,00 00,36.2,4,4,0,3.09,3.09,0.0,0x00,nda,00 00 00,668,00 00,0.0
9,572,aa 55 aa 69 0e 83 00 00 00 dc 01 37 00 1c 00 00 00 00 00 00 00 00 00 1c 00 37 00 00 00 00 00 00 00 00 00 6a 01 04 00 04 00 00 00 35 01 35 01 00 00 00 00 00 00 20 01 00 00 00 00,3689,13.1,0.0,dc 01 37 00 1c 00,0.0,00 00 00 00,0.0,28,55,0.0,0.0,00,0,00 00,36.2,4,4,0,3.09,3.09,0.0,0x00,nda,00 00 00,288,00 00,0.0
10,631,aa 55 aa a1 0e 83 00 00 00 dc 01 37 00 1c 00 00 00 00 00 00 00 00 00 1c 00 37 00 00 00 00 00 00 00 00 00 6b 01 04 00 04 00 00 00 35 01 35 01 00 00 00 00 00 00 20 01 00 00 00 00,3745,13.1,0.0,dc 01 37 00 1c 00,0.0,00 00 00 00,0.0,28,55,0.0,0.0,00,0,00 00,36.3,4,4,0,3.09,3.09,0.0,0x00,nda,00 00 00,288,00 00,0.0
11,690,aa 55 aa 37 0f 83 00 00 00 dc 01 37 00 1c 00 00 00 00 00 00 00 00 00 1c 00 37 00 00 00 00 00 00 00 00 00 6c 01 04 00 04 00 00 00 30 01 30 01 00 00 00 00 00 00 7d 02 00 00 00 00,3895,13.1,0.0,dc 01 37 00 1c 00,0.0,00 00 00 00,0.0,28,55,0.0,0.0,00,0,00 00,36.4,4,4,0,3.04,3.04,0.0,0x00,nda,00 00 00,637,00 00,0.0
